A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
MARATHON TRAVEL Ltd|||||87, Akademias Street, 106 78 Athens Tel (210) 3835136, 3819734, 3818069, Fax (210) 3839076 Owners: Ms Sofia & Aggeliki Geronikola Member of: ACTO, HATTA, UFTAA 
MARGARIS TRAVEL|||||59, Panepistimiou Street, 105 64 Athens Tel (210) 3210100, 3248947, Fax (210) 3248948, Owner/Manager: Sokratis Margaris, Member of: HATTA 
MARINE TOURS LTD|||||7-15, Pandrosou & 8, Mnisikleous Streets, (1st floor), 105 56 Athens Tel (210) 3712200, Fax (210) 3712290 Member of IATA (code 27-2 0165) Owner: Marine Tours S.A., General Manager: Kon. Economou Glyfada office: 15, A. Metaxa Street, (1st floor), 166 75 Glyfada Tel (210) 8940316-7, Fax (210) 8942096 Thessaloniki office: 3, Ionos Dragoumi St., 546 25 Thessaloniki, Tel 2310-538700, Fax 2310-531040 Patra office: 3, Vas. Georgiou Square, (2nd floor), 262 21 Patra Tel 2610-621166, Fax 2610-621190 Heraklion/Crete office: 14, Hortatson Street, 712 02 Heraklion Tel 2810-341309, Fax 2810-341926 
MARINIS ALL TRAVEL|||||33, D. Areopagitou St, 117 42 Athens Tel (210) 9244500-1, Fax (210) 9249841 Owner/Manager: Ms Konstantina Marinis Member of: IATA (code 27-0 0401)
MARISOL TOURS S.A.|||||35, Voulis Street, 105 57 Athens, Tel (210) 3245540, 3231878, 3245580, Fax (210) 3245549, VAT 095422163, FAEE ATHENS Owner/Manager: Y. Hirashima Member of: HATTA, GDS: Galileo E-mail: marisol@travelling.gr Web site: www.marisoltours.com 
MAROULIS TRAVEL|||||24, Stratigou Lekka Street, 151 22 Marousi Tel (210) 6147840-4, Fax (210) 6147845, Owner/Manager: Bros Maroulis Member of: HATTA, POET, IATA (code 27-0 0737) 
MASTERPIECE TRAVEL|||||16, Voukourestiou St., 106 71 Athens Tel (210) 3626309, 3626310, Fax (210) 3614720 Owner/Manager: Ms Eleni Anagnostopoulou 
MATTHEOU TRAVEL|||||20, Korai Street, 142 33 N. Ionia Tel (210) 4137007, 2778083, Fax (210) 2777879 Owner/Manager: Z. Mattheou 
MAVA TARVEL S.A.|||||3, Paparigopoulou Street, 105 61 Athens, Tel (210) 3312240-1, Fax (210) 3312245 Manager: Dimitrios Kaboukos Member of: IATA (code 27-2 1177), HATTA 
MAXIMA S.A.|||||30, Achilleos & 67, Vouliagmenis Ave., 166 74 Glyfada Tel (210) 9615065, Fax (210) 9645052 Owner: Maxima S.A., Vat Reg No: 094497163, DOY: FAE PIRAEUS Manager: Charalambos Asderis Member of: HATTA, IATA (code 27-2 1047) E-mail: maxima@maxima.gr Web site: http://www.maxima.gr 
MAYFAIR TRAVEL|||||52, Metaxa Avenue, 166 74 Glyfada Tel (210) 8907000, Fax (210) 8949723, 8945396 Owners/Managers: Spyros & Catherine Zachartzis Members of: IATA (code 27-2 2600), HATTA, ASTA GDS: Amadeus, Worldspan   
MED CONGRESS & TOURS – INTERCONGRESS|||||104, Michalakopoulou Street,115 28 Athens Tel (210) 7700044, Fax (210) 7755109 Manager: Polychronis Efkarpidis Member of: HATTA 
MEDITERRANEAN TRADITIONAL MANSIONS|||||16, Kalirois Avenue & Negri Street, 117 43 Athens Tel (210) 9226604,  9210888, Fax (210) 9239604 Owner: Mediterranean Traditional Mansions Ltd Managing Director: Vassilis Triantafillou Member of: HATTA  GDS: Sabre 
MELIKOKIS TOURS|||||2, Skoufou & Apollonos Streets, 105 57 Athens Tel (210) 3228437, 3227991, Fax (210) 3229412 Owner: Melikokis Tours, Vat Reg No: 032817090, DOY: D’ ATHINON Manager: Nikos Melikokis Other offices in: Chaniotis, N. Marmaras, Thessaloniki 
MEMNON TRAVEL|||||67A, Panepistimiou Avenue, 105 64 Athens, Tel (210) 3240036, (210) 3245604, Fax (210) 3252757 Owner/Manager Dimitrios Gounaras Member of: HATTA e-mail: info@memnontravel.gr Site    www.memnontravel.gr 
MERLIN TARVEL|||||2, Nav. Nikodimou Street, 105 58 Athens Tel (210) 3223200, Fax (210) 3223500 Manager: Michalis Tsilikidis Member of: HATTA
METEOR IN|||||39, Ch. Smyrnis Street, 151 21 Pefki Tel (210) 8054000, Fax (210) 6148590 Owner: Dionisia Andonopoulou, Manager: Christos Doukas 
METEOR TRAVEL|||||43, Akademias Street, 106 72 Athens, Tel (210) 3629521-2, Fax (210) 3624587 Owner/Manager: E. Doukas Member of: HATTA 
METHONI TOURS & TRANSPORT|||||1, Kallinikou & Patission Streets, 112 54 Athens Tel (210) 2016182, 2016205, Fax (210) 2024209 VAT 095629426, K’ ATHENS Owner/Manager: Ioannis Kotsiris 
METROPOLITAN TRAVEL Ltd.|||||33, Daskaroli Street, 166 75 Glyfada Tel (210) 9607058, Fax (210) 9607118 Owner: Metropolitan Travel Ltd., Manager: Photis Photopoulos Member of: IATA (code 27-2 0052), ASATA, GITO, HATTA E-mail: info@metropolitan.com.gr Web site: www.metropolitan.com.gr 
M.G. TRAVEL|||||107, Stratarchou Karaiskaki Street, 124 61 Chaidari, Athens Tel (210) 5324384, 5324850, Fax (210) 5324285 Owner/Manager: Marinos Gasparatos Member of: IATA (code 27-0 0526), HATTA
M.I.B.S. TRAVEL|||||14, Xenofondos Street, 105 57 Syntagma Tel (210) 3214467-8, 3241740-1, Fax (210) 3222456 E-mail: info@mibs.gr, Web site: www.mibs.gr Own: Shiapanis International Travel Ltd VAT 095556349 (D’ Athens) Managing Director: Andreas Shiapanis Member of: HATTA, PETAGA Branch: 10, Kalapothaki Street, 546 24 Thessaloniki, Tel (2310) 281049, 281067, Fax 281131 Associate offices: Cyprus, Russia, Ukraine, Bulgaria
MIDEAST TRAVEL WORLDWIDE|||||105-107, Vass. Sofias Avenue, 115 21 Ampelokipi Tel  (211) 2118888, Fax (210) 6426147, Owner: MidEast Travel Worldwide Vat Reg No: 095481440, DOY: KA’ ATHINON Manager: Ms Katerina Mousbeh Marketing Manager: Ms Elina Argyri Tel (211) 2118847 Member of: HATTA, PETAGA, IATA (code 27-2 1023), HAPCO GDS: Worldspan, Sabre, Galileo, Amadeus E-mail : mideast@mideast.gr Web site: www.mideast.gr  
MIHALITSIS TOURS|||||175, Likourgou Street, 176 75 Kallithea Tel (210) 9579350, 9579355, Fax (210) 4136456 Owner/Manager: Nikos Mihalitsis 
MILIAS CAMPS|||||1, Halandriou Street, 153 43 Ag. Paraskevi Tel (210) 6015601, Fax (210) 6015601 Manager: Ioannis Milias. Member of: HATTA 
MINA TOURS TRAVEL & TOURISM|||||24, Patission Street, 106 77 Athens Tel/Fax (210) 3831911, 3804842, 3804893   Owner: Mina Tours, Vat Reg No: 043683076, DOY: A’ ATHINON Manager: Mr. Hanna Wafaei Member of: HATTA, IATA (code 27-2 1135) GDS: Galileo 
MISTAKIDIS TOURS|||||6, Ag. Kon/nou Street, 104 31 Athens Tel (210) 5234396, 5221860, 5248741, Fax (210) 5234397 Owner/Manager: Greg. Mistakidis Member of: HATTA 
MOMENTS|||||15, Messogion St., 115 26 Athens, Tel (210) 7718400, Fax (210) 7715285 Manager: Gabriele Diakakis Member of: HATTA
MONOGRAM TRAVELSHOP|||||10, Gr. Lambraki Street, 166 74 Glyfada Tel (210) 8940888, Fax (210) 8947479 Managing Director: Fanis Tsakmakidis Member of: IATA (code 27-2 1229)
MOONLIGHT TRAVEL SERVICES|||||25A, Pavlou Mela Street, 174 55 Alimos Tel (210) 9847797, Fax (210) 9853557 Owner/Manager: Vasiliki Vasilakopoulou Member of: IATA (code 27-0 0539)
MOUSTAKIS TRAVEL|||||146, Char.Trikoupi & Strofiliou Streets, 146 71 N.Erithrea Tel (210) 6207439, 6209566, Fax (210) 6207398 Manager: Manolis Moustakis 
MOUZENIDIS TOURS|||||26, Filellinon Street, 105 58 Athens Tel (210) 3317542, 3317953, Fax (210) 3317734 Owner: Boris Mouzenidis, Manager: Mrs Galina Ivanidou GDS: Amadeus 
MOUMTZIDIS TOURS|||||96, Doiranis & Davaki Sts, 176 72 Kallithea Tel (210) 9510675, 9569677, Fax (210) 9596268 Owner/Manager: J. Moumtzidis
MP MEDITERRANEAN PARTNERS TRAVEL|||||39, Voulis St, 105 57 Athens, Tel (210) 3220230, Fax (210) 3220294 Owner/Manager Mrs Maria Pirounaki-Avlonitou Member of: HATTA 
MR. TRAVEL Ltd|||||274, Messoghion Avenue, 155 62 Holargos Tel (210) 6510047, Fax (210) 6531567 Owner: Mr Travel Monoprosopi Ltd, Vat Reg No: 095014407, DOY: HOLARGOU Manager: Alexandros Noutsos Ticketing: Ms Rania Kouloumbi, E-mail: rkouloumbi@mrtravel.gr Ticketing: Ms Katerina Preka, E-mail: kpreka@mrtravel.gr Member of: MPI, HATTA, IATA (code 27-2 0063) GDS: Amadeus, Worldspan 
MTA AIR & TOURISM LTD|||||2, Ch. Lada St., 105 61 Athens, Tel (210) 3252081-4, Fax (210) 3235282 Manager: Mizouto Tosio 
MTS TOURISM SOLUTIONS S.A.|||||22, Voulis Street, 1st floor, 105 63 Athens Tel: 2103379000, Fax.: 2103214514, 2103216870 e-mail: mts@mts.com.gr, Web site: www.citybreaks.gr RegCo MTS Tourism Solutions S.A., VAT 999076627 (FAEE Athens) General Manager: Mr. Stathis Miniatis FIT Dept. Supervisor: Mrs. Alexandra Biskou Group Dept. Supervisor: Mrs. Katerina Hassapi Member of: HATTA, IATA (code 27-2 8232) 
MULTIPATH TRAVEL SERVICES|||||229, Gounari Street, 166 74 Glyfada Tel (210) 9648909, Fax (210) 9650594 Manager: Marios Siakantaris Member of: HATTA
MULTI TRAVEL|||||6, Omirou Street, 105 64 Athens Tel (210) 3240101, 3251055, Fax (210) 3244449 Owner/Managing Director: Panagiotis Kitsikoudis Member of: HATTA GDS: Galileo 
MUNTANER EXPRESS TRAVEL|||||9B, Apollonos Street, 105 57 Athens Tel (210) 3221895, 3221393, Fax (210) 3231440 Owner/Manager: K. Alexiou, A. Freskakis 
MYTHOS TRAVEL|||||9, Rizariou St., 152 33 Chalandri, Tel (210) 6839396, Fax (210)6839398 Manager: Lisbeth Sorensen Member of: HATTA 
NATIONAL TRAVEL SERVICE|||||22, Voulis Street, 105 63 Athens Tel (210) 3226881, 3227083, Fax (210) 3238591 Owners: K. & Ch. Stathopoulos, Manager: Kostas Stathopoulos Member of: PETAGA, HATTA, IATA (code 27-2 9800) Branch offices in: New Jersey, Toronto, Vancouver GDS: Galileo E-mail: national@travelling.gr 
NATURAMA HOLIDAYS|||||8, Agathonos Street, 153 43 Ag. Paraskevi Tel (210) 6774060, Fax (210) 6773808 Owner: Ioannis Perlis, Manager: Ms Christa-Aleka Karapli GDS: Sabre 
NAVIGATOR TRAVEL & TOURIST SERVICES Ltd.|||||31, Akademias Street, 106 72 Athens Tel (210) 3609801-3, Fax (210) 3634271 Manager: A.A. Stylianopoulos Member of: ASTA, FUAAV, GOETO, HATTA, IATA (code 27-2 5848) GDS: Galileo E-mail: navigator@navigator.gr Web home page: www.travelling.gr/navigator Web site: www.navigator.gr
NEON TRAVEL AGENCY|||||6, Gamveta Street, 106 78 Athens Tel (210) 3803606, 3846431-2, Fax (210) 3807823 Owner/Manager: D. Gougias Member of: IATA (code 27-2 0061), GDS: Sabre, Amadeus 
NICK EMILIS|||||101B, Prasinou Lofou Street, 141 22 N. Heraklio Tel (210) 2824440, Fax (210) 2824441 Owner: Nick Emilis , Manager: N. Fourzoumis 
NIKIAS TOURS|||||6, Ag. Kon/nou Street, 104 31 Athens Tel (210) 5245056, 5245569, Fax (210) 5245443 Owner/Manager: Nikolaos Tripodis 
NINA TOURS Ltd|||||Head office: 21, Voulis Street, 105 63 Athens Tel (210) 3249947, 3246436, Fax (210) 3220558, 3249940 Manager: Claude A. Harcourt Member of: ASTA, HATTA, FUAAV, UFTAA GDS Worldspan E-mail: ninatour@otenet.gr, Web site: www.ninatours.gr Branch offices in: 155-157, Andromachis Street, 176 72 Kallithea Tel (210) 9563191, 9563201, Fax (210) 9563987 E-mail: nina2@ath.forthnet.gr 6-14, Ag. Sofias Street, 162 31 Vyronas Tel (210) 7649333, 7649334-5, Fax (210) 7647222 
NIVAS TRAVEL|||||41, Sokratous Street, 145 61 Kifissia, Athens Tel (210) 6141500, Fax (210) 6129201 Owner: Nivas Travel Ltd, Manager: George Kavvadias Member of: HATTA 
NOFITA TRAVEL LTD|||||8, Ermou Street, 105 63 Athens Tel (210) 3313550 (10 lines), Fax (210) 3252736 Owner: Nofita Hellas Group of Comp., Manager: D. Zahiotis Member of: IATA (code 27-2 1024), HATTA GDS: Galileo, Sabre 
NORDIC EXPERTS LTD|||||60, Kolokotroni Street, 105 60 Athens Tel 2103255235, Fax 2103254831 Manager: Athanasios Athanasiadis Member of: HATTA 
NOMOS TRAVEL|||||5, Chatzigianni Mexi Street, 115 28 Athens, Greece Tel. +30-210-7244997, Fax. +30-210-7244551 e-mail info@nomos-travel.gr www.nomos-travel.gr 
NORMA TRAVEL|||||39, Panepistimiou Street, 105 64 Athens Tel (210) 3230510, Fax (210) 3230520 Manager: Nander Halbouni 
NORSTAR ENTERPRISES TOURISM & TRADE SA|||||73, Possidonos Avenue, Eden Mare Complex, 175 62 P. Phalero Tel (211)1204300, Fax (210)9881552 Owner: Norstar SA,  Manager: Andromachi Gavalas Member of: IATA (code 27-2 1021), HATTA GDS: Amadeus 
OCEANKING TRAVEL|||||30, Vas. Georgiou & M. Asias, 152 33 Chalandri Tel (210) 6856470, Fax (210) 6856474 Owner/Manager: Mrs Helen Varonou Member of: IATA (code 27-0 0177), HATTA 
OCEANIS TRAVEL & TOURISM|||||4, Ipitou Street, 105 57 Athens, near Syntagma Sq. Tel (210) 3232673, 3233252, 3235589, Fax (210) 3254635 Owner/Manager: Nicolas P. Thodis, Sales Promotion Spv: Peter Thodis Member of:HATTA GDS: Sabre 
ODYSSIA TRAVEL|||||9, Visarionas Street, 106 72 Athens Tel (210) 3648130, Fax (210) 3648195 Manager: Vassilis Marvelias 
OLYMPIC LINES|||||6, Elefsinion Street, 104 37 Athens Tel (210) 5238570, Fax (210) 5238321 Manager: Georgios Rammos Member of: HATTA
OM HELLAS|||||4, Fragoklissias Street, 151 25 Maroussi Tel (210) 6107400-1, Fax (210) 6107402 Owner/Manager George Kiagias Member of: HATTA 
OMONIA TOURS|||||6, Themidos Street, 151 24 Maroussi Tel (210) 8029494, Fax (210) 8021868 Owner/Manager: Georgios Sayannis 
ONE TO ONE|||||10, Thetidos Street, 115 28 Athens Tel (210) 7254383, Fax (210) 7254384 Manager: Georgia Vlastari 
OPTA TRAVEL|||||44, Ippokratous Street, 106 80 Athens Tel (210) 3626531, Fax (210) 3619365 Owner: Opta Travel S.A., Manager: Claude Berthault Member of: HATTA 
OPTIONS EUROCONGRESS S.A.|||||330, Thisseos  Ave., 176 75 Athens Tel (210) 9483212, Fax (210) 9483213 Owner/Manager: Andreas Drakou Branch offices in: London, Bruxelles, Cyprus, Member of: HATTA GDS: Sabre 
OPTION EVENT MANAGMENT|||||19, Amarissias Artemidas Street, 151 24 Maroussi Tel (210) 6198496, Fax (210) 6197214 Owner/Manager: Panagiotis Aretakis Vat Reg No: 022494184, DOY: Amaroussiou 
ORAMA TRAVEL & EVENTS Ltd.|||||181, Kifissias  Ave., 151 24 Athens Tel (210) 6147970, Fax (210) 6147973 Owner: Orama Travel & Events Ltd., Managing Director: Dimitri C. Dimitriou 
ORANGE CRUISES HELLAS S.A.|||||6, Paleologou Benizelou str, 10556, Plaka Athens Tel 2103259900 Fax 2103259999 VAT 800471672 FAE ATHINON Owner: Orange Cruises Hellas S.A President: Tatiana Hambas General Manager: George Paliouras Sales Manager: Michalis Panagiotakopoulos Member of: HATTA Email: info@orangecruises.gr Web site: www.orangecruises.gr
ORBITA TRAVEL S.A.|||||9A, Leontiou Street, 117 45 Athens Tel (210) 9213410, Fax (210) 9253415 Owner: Orbita Travel S.A. VAT 094287657, FAEE Athens President : Christos Kardiakos Member of: IATA, (code 27-2 7464), HATTA, GDS: Galileo, Amadeus
ORIENT EXPRESS TRAVEL & TOURIST OFFICE|||||9, Zalokosta & Kriezotou Streets, 106 71 Athens Tel (210) 3602466, 3602468, Fax (210) 3635787 Owner/Manager: Angelos Lymberopoulos Member of: ASTA, IATA (code 27-2 1867), HATTA GDS: Galileo 
OVADIAS TOURS|||||53, Ermou Street, 105 63 Athens Tel (210) 3247000, Fax (210) 3247077 President & CEO: Nicholas Ovadias, VAT 077397455, E’ Athens Member of: HATTA, ASTA, COTAL E-mail:  info@ovadiastours.com Web site: www.ovadiastours.com  Ovadias Tours is an established brand worldwide offering quality & personalized services to our clientele of the professionals T/O & T/A in the Travel Industry. D.M.C. service for Incentives, Special Interest programs & groups, conferences. The essence of tourism is quality & personalised service which rely on experiencem conscientous service and dedicated professionalism. Nothing is more important to us than client’s service. In every aspect of our dealings with our clientele, we aim to go beyond their expectation. This commitment to quality, backed with years of perseverance and hard work, enables us to maintain and always appraise the standards set by us. What’s more, today’s clients are exceedingly demanding, and nothing less than the best will do for them. We at “Ovadias Tours” respond with impeccable luxury service and attention to detail. We organise a wide variety of services for individuals as well as groups: Since 1959, more than five decades of experience and commitment to our clients in the field of tourism enables us to guarantee. The best value for your money VIP treatment of each and every client Personalized, quality service Immediate quotation and confirmation response Minimizing cost and maximizing the client’s travel experience Customer support by qualified and well-trained staff Attention to detail 24 hour/seven days per week emergency hotline Our knowledge of international trends and lifestyles enables us to design and meet any tour needs from the simple to the most demanding and unique for both individuals and groups. Ovadias Tours is a modern Greek Tour Operator which serves all sectors of tourism and travel. Incentives Special Interest Groups Meetings & Seminars Congresses Pharmaceutical Conventions Religious/Historical Groups Group custom made tours & cruise programs Deluxe VIP programs VIP private red carpet services Luxury car rental Limousine drivers Personal Executive Secretary escorts Security Escorts Customized tour and cruise packages Bodyguard service Yacht hiring Helicopter and Lear jet rental City guide service Exclusive assistance Unforgettable Tours Reservations at luxurious Hotels Leisure packages Cultural packages Honeymoon & Wedding Packages Innovated Packages Gastronomy, Gourmet, Wine Tours & Packages Packages to Turkey, Egypt, Israel, Cyprus, Jordan and Italy. Our experienced, specialized staff and our software systems enable us to provide you and your clients with our wide range of programs and services which are designed to provide top performance and significant cost benefits in combination with our traditional, personalized service, where and when you need it. Why choose Ovadias Tours as your preferred tour operator in Greece? Our commitment to ensuring happy and satisfied customers, who are – as you well know – the best advertising. In reward of your business we offer you and your clients our best personalised & quality service. Thanking you in advance for choosing Ovadias Tours as your associate in tourism and travel. With personal regards, Nicholas Ovadias President & CEO e-mail : nicholas@ovadiastours.com
OXYGEN TRAVEL|||||4, Eslin Street, 115 23 Athens, Tel (210) 6410881, Fax (210) 6452339 Owner/Manager: Ms Niki Kirarini Member of: IATA (27-0 0465) GDS: Worldspan 
PACIFIC TRAVEL SERVICES|||||Since 1969 26, Nikis Street, 105 57 Athens Tel (210) 3241007, 3223213, Fax (210) 3233685 Athens International Airport – Arrivals Hall Tel (210) 3530160, Fax (210) 3532301 24 Hour Service Administration Bureau: 10, Xenofontos St., 105 57 Athens Tel (210) 3318757, Fax (210) 3236048 P.O. Box 13803, 103 10 Athens www.pacifictravel.gr, info@pacifictravel.gr, VAT 095025422 (FAEE ATHENS) N.T.O.G Licence No 69 Managing Director: Konstantinos Siamos Member of: IATA (code 27-2 1207) 
PALOMA TOURS|||||4, Marni Street, 104 33 Athens Tel (210) 8233744, 8228198, Fax (210) 8220732 Owner/Manager: B. Nastos Member of: IATA (code 27-0 0509), HATTA 
PAM TOURS DMC|||||52, 28th October (Patission) Street, 106 82 Athens Tel (210) 9229269, 9229294, Fax (210) 9241803 Owner: Pam Tours Ltd, VAT 095296535, IA’ Athinon Manager: Ms Despina Gyra Member of: ASTA, HATTA, SETE 
PANAGIOTOPOULOS TOURS|||||51, Possidonos Street, 163 45 Ilioupolis Tel (210) 9751697, 9710880, Fax (210) 9751697 VAT 092124209, ILIOUPOLI Owner: Th. & A. Panagiotopoulos Inc. Manager: Th. Panagiotopoulos 
PANASIAN TRAVEL|||||5, Diplari Street, 105 52 Athens Tel/Fax (210) 3222067 Member of: IATA (code 27-2 1126) 
PANGAEA TRAVEL AGENCY|||||6, Aristidou St., 105 59 Athens Tel (210) 3237331, Fax (210) 3236626 Owner/Manager: Ilias Daftsidis Member of: IATA (code 27-0 0814) 
PANGOSMION ADVENTURES|||||12, Efpolidos & 63, Athinas Streets, 105 52 Athens Tel (210) 3240749, Fax (210) 3243229, Owners: I. Adamidis, Ms L. Adamidou, Vat Reg No: 081394032, DOY: A’ ATHINON Manager: I. Adamidis Member of: HATTA, GDS: Galileo 
PANHELLAS TRAVEL|||||161, El. Venizelou & Kapodistriou Sts, 146 71 Nea Erythrea, Tel (210) 8003073-4, Fax (210) 8003030 Owner/Manager: Ms Louiza Vlachou Member of: HATTA 
PANOS TRAVEL|||||1, Alexioupoleos Street & Vouliagmenis Avenue, 164 52 Argyroupoli Tel (210) 9962500, Fax (210) 9969245 Owner: P. Katsimbardis & Co Ltd Manager: P. Katsimbardis GDS: Amadeus E-mail: info@panos-travel.gr Web site: www.panos-travel.gr
PAPAGEORGIOU TRAVEL|||||7, Kratinou St., 105 51 Athens Tel (210) 3245661, Fax (210) 3243103 Manager: Theodoros Papageorgiou Member of: HATTA 
PAPAZOGLOU TOURS|||||3, 28th October St., 132 31 Petroupolis Tel (210) 5016515, 5019011-2, Fax (210) 5017216 Owner: A. Papazoglou & Co,  VAT 081013774, Petroupolis Manager: A. Papazoglou Member of: IATA (27-0 0604) 
PARKER CONTINENTAL TOURS & TRAVELS|||||22, Theatrou Sq, 105 52 Athens, Tel (210) 3311944, Fax (210) 3311945 Owner/Manager: Pramot Parker Member of: IATA (27-0 0776) 
PASSEPARTOUT TOURS – CRUISE in GREECE|||||We make your travel dreams come true Passepartout tours – cruises aims to establish a recognizable brand worldwide that offers excellent service and unique, exciting products and itineraries. We strive to tailor-make that once in a lifetime itinerary to ensure that all your dreams come true. We are based in Athens – Greece, although our guests come from around the world. Services – deals Passepartout tours – cruises specializes in high-quality, tailor-made trips to selected areas of Greece and Turkey. offers a wide range of services including √ special interest groups, √ honeymoon destinations and family holidays.   Address 16, Nikis Street, 105 57 Athens Tel (210) 3220382, 3221097, Fax (210) 3231640 Owners: N. Balaskas, N. Kelaiditis Inc. Managing Director: N. Kelaiditis, Sales Manager: Makis Tsoukalas Member of:  HATTA. GDS: Amadeus E-mail: passepartout@travelling.gr info@passepartout-tours.gr www.passepartout-tours.gr  With over 35 years of experience in operating quality tours throughout Greece, Turkey and Egypt, a dedicated team of full time local personnel, and offering the widest selection of tours available anywhere, travel with Passepartout Tours and experience an affordable trip of a life-time. We specialize in offering tours throughout Greece, Turkey and Egypt and operate every adventure, cultural, pleasure and insensitive tour available; from special interest trips, honeymoon tours, family packages, and corporate clientele to tailor made itineraries and luxury VIP excursions. As the only travel company that guarantees fixed departure tours even if there is only one passenger, there will be no cancellations, no disappointments!. With no hidden land cost charges; a constant quality control system regularly checking hotels and services; a committed awareness for the environment; and by operating low-impact tours that benefit local economies and communities on every visit; Passepartout Tours proudly offers a responsible tourism that is setting new standards in the very nature of Mediterranean travel. Our mission to exceed our clients high expectations everytime is confirmed through our constant source of testimonials and satisfied customers; making our market position as one of the leading tour companies of Greece assured. Please take a look through our new website and plan your trip of a lifetime with Passepartout Tours! 
PAUSANIAS TRAVEL|||||100, Akademias Street, 106 77 Athens Tel (210) 3820535, 3814100, Fax (210) 3811901 Owner: S. Isaakidis, Manager: M. Isaakidis Member of: HATTA
PCO CONVIN S.A|||||29, Kosta Varnali Street, 152 33, Chalandri Tel (210) 6833600, Fax (210) 6847700 Manager: Antonia Alexandrou Member of: HATTA, HAPCO
PEPITA TRAVEL|||||56, Panepistimiou Street, 106 78 Athens Tel (210) 3838063, 3823557, Fax (210) 3302793 Owner/Manager: Ms Pepita Gouta Member of: HATTA GDS: Sabre 
PEROPOULOS TRAVEL|||||3, Myronos St., 174 56 Alimos Tel (210) 9960627, Fax (210) 9956577 Owner/Manager: Christos Peropoulos Member of: IATA (code 27-0 0678) 
PHAROS TRAVEL & TOURISM|||||118, 3rd September Street, 104 32 Athens Tel (210) 5233403-4, 5247867, 5236142, Fax (210) 5236261 Owner: Pharos Travel & Tourism Ltd, Vat Reg No: 095780570, DOY: A’ ATHINAS Manager: Dimitrios Panagiotopoulos Member of: IATA (code 27-2 0216) USA Office: Pharos Agency Inc. 30-19, 30Th Street, Astoria, N.Y. 11102 Tel: 718-7777787 GDS: Worldspan, Pars, Sabre 
PHILA TRAVEL|||||83, Dekelias Street, 143 41 N. Philadelphia, Tel (210) 2518155, 2518156, 2517800, Fax (210) 2580886 Owner/Manager: D. Georgiou Member of:  HATTA GDS: Worldspan 
PILGRIMS Int ‘I TRAVEL AGENCY|||||11, Ipirou Street, 104 33 Athens, Tel 2108254730, Fax 2108254732 Manager: Ilias El – Taouil Member of: HATTA 
PIMENIDI TRAVEL|||||10, Omonia Square, 104 31 Athens Tel (210) 5232419, 5230284, Fax (210) 5230293 Owner/Manager: Theofilos Pimenidis Vat Reg No: 040218726, DOY: A’ ATHINON Member of: IATA (code 27-2 1228), HATTA
PLANNING TEAM|||||40, Ag. Konstantinou Street, 151 24 Marousi Tel (210) 6107213, Fax (210) 6107864 Manager: Anna  Tziovara Member of: HATTA
PLANO TOURS|||||40, Ag. Konstantinou Street, 151 24 Marousi Tel (210) 6107213, Fax (210) 6107864 Manager: Anna  Tziovara Member of: HATTA 
PRC CONGRESS & TRAVEL|||||102, Michalakopoulou Avenue, 115 28 Athens Tel 2107711673, Fax 2107711289 Manager: Iordanis Chalvidis Member of: HATTA, ASTA 
PREMIER DESTINATIONS INTERNATIONAL CONFERENCE & EVENT MANAGEMENT|||||82, Vass. Pavlou st., 166 73 Voula Tel: 30 210 899 54 00,  Fax: 30 210 899 10 09 E-mail: info@pdi-group.net www.pdi-group.net RegCo N. Kyriakopoulos & Associates Crete A•∆∂∂, VAT 094259277 (FAE Piraeus) Managing Director N. Kyriakopoulos, Vice Pres. Int’l Operations Andreas Gerochristos Operations Director Ioanna Remoundou, Operations Assistant Kalia Tsitse, Sales Manager Panagiotis Skordos Sales Executive Paul Democritou, Ticketing Niki Vraka Member of: HATTA, HAPCO, ICCA, RCB, MPI 
PRESCOT TRAVEL|||||36, Sostratou Street, 117 43 Athens Tel (210) 9270590-2, Fax (210) 9270594 RegCo: Schuppert, Henny Henrica, VAT 063326783 (IH ATHENS) Manager: Mrs H. Schuppert, Res Dept: Mrs S. Vermeulen Accounting: M. Koutsopoulos 
PRESTIGE TRAVEL ENT.|||||4, Filellinon St., 105 57 Athens Tel (210) 3238202, 3245707, Fax (210) 3236029 Owner/Gen. Manager: Angelos Ioannou Assistant Gen. Manager: George Ioannou Member of: APAVT, ASTA, HATTA GDS: Sabre Branch offices in: Mykonos, Crete 
PRIORITY TRAVEL & TOURISM|||||4, Skouleniou Street, 105 61 Athens, Tel (210) 3314476-7, Fax (210) 3314478 Owner: Elias Chrissikos Manager: Spiros Nikolaides 
PROFIL VOYAGES Ltd|||||36, Metropoleos Street, 105 63 Athens Tel (210) 3239482, 3239585, Fax (210) 3238561 Owner: Profil Voyages Ltd,  Manager: Miss F. Deschamps Member of: HATTA, GDS: Galileo 
PROMITHEAS TRAVEL|||||6, Kyprou Street, 121 32 Peristeri, Tel (210) 5776808, Fax (210) 5786808 Manager: Grigoris Liontos   Member of: HATTA 
